Business Name, Email, Website, Phone
"Alpha Gourmet Cafe", "Not Found", "Not Found", "tel:0292471415"
"Coffee Lounge Elysee", "Not Found", "Not Found", "tel:0292645089"
"Fire Station Espresso Bar", "Not Found", "Not Found", "tel:0292835703"
"Qube Espresso &amp; Chocolate", "Not Found", "Not Found", "tel:0292834009"
"Gone In 5", "Not Found", "Not Found", "tel:0296271223"
"By The Terrace Cafe", "Not Found", "Not Found", "tel:0280684902"
"Bahista Cafe 231 Pty Ltd", "Not Found", "Not Found", "tel:0292642912"
"CQ Cafe", "Not Found", "Not Found", "tel:0292413979"
"Passionflower", "Not Found", "Not Found", "tel:0292124154"
"Tom N Tom's Coffee", "Not Found", "Not Found", "tel:0292679989"
"ZENQ DESSERT PTY. LTD", "Not Found", "Not Found", "tel:0292678898"
"Settlement On Quay", "Not Found", "Not Found", "tel:0292414010"
"T break cafe", "Not Found", "Not Found", "tel:0292646850"
"Simplicity Cafe", "Not Found", "Not Found", "tel:0292991486"
"Kaz Cafe", "Not Found", "Not Found", "tel:0289990595"
"Euro Espresso Bar", "Not Found", "Not Found", "tel:0292675577"
"Cafe C'Ya", "Not Found", "Not Found", "tel:0292647576"
"Quay Express", "Not Found", "Not Found", "tel:0292473648"
"Quay Cafe", "Not Found", "Not Found", "tel:0292478807"
"Tower Coffee Lounge", "Not Found", "Not Found", "tel:0292611999"
"Headlines Coffee Shop", "Not Found", "Not Found", "tel:0292522016"
"Coffee Pitt", "Not Found", "Not Found", "tel:0292680069"
"Blends Cafe and Restaurant", "Not Found", "Not Found", "tel:0294526211"
"Bar Milazzo On Pitts", "Not Found", "Not Found", "tel:0292648644"
"MCA Cafe and Sculpture Terrace", "Not Found", "Not Found", "tel:0292508443"
"Oliver's Coffee", "Not Found", "Not Found", "tel:0292389460"
"Cafe Casina", "Not Found", "Not Found", "tel:0292836933"
"Cafe Downing", "Not Found", "Not Found", "tel:0292613799"
"The Naked Duck", "Not Found", "Not Found", "tel:0292680661"
"Dare", "Not Found", "Not Found", "tel:0292511445"
"Verdict Cafe", "Not Found", "Not Found", "tel:0292627522"
"Cre8 Pasta Salad Papas Bar", "Not Found", "Not Found", "tel:0292830500"
"Orient Cafe", "Not Found", "Not Found", "tel:0292562214"
"Guylian Belgian Chocolate Cafe", "Not Found", "Not Found", "tel:0282747500"
"Guylian Belgian Chocolate Cafe", "Not Found", "Not Found", "tel:0282747900"
"Lovebite Cafe", "Not Found", "Not Found", "tel:0292690353"
"Bar Zoppola", "Not Found", "Not Found", "tel:0292120073"
"Movenpick Icecream", "Not Found", "Not Found", "tel:0292815775"
"Hard Rock Cafe Sydney", "Not Found", "Not Found", "tel:0292800077"
"St. Moritz Chocolate Cafe", "Not Found", "Not Found", "tel:0415395957"
"Portobello Caffe'", "Not Found", "Not Found", "tel:0292478548"
"Moors Espresso Bar", "Not Found", "Not Found", "tel:0447770069"
"New Hong Kong Cafe", "Not Found", "Not Found", "tel:0292837022"
"Ching Yip Pty Ltd", "Not Found", "Not Found", "tel:0292811591"
"The Rocks Pop-Up", "Not Found", "Not Found", "tel:0401713998"
"Playfair Cafe", "Not Found", "Not Found", "tel:0292513317"
"Gloria Jean's Coffees", "Not Found", "Not Found", "tel:0292670279"
"Sidewalk Cafe &amp; Bar", "Not Found", "Not Found", "tel:0292470481"
"Ciccio Bar", "Not Found", "Not Found", "tel:0282041888"
"Passionflower", "Not Found", "Not Found", "tel:0292818322"
"Tivoli Coffee &amp; Food Bar", "Not Found", "Not Found", "tel:0292111667"
"Hifu Cafe Pty Ltd", "Not Found", "Not Found", "tel:0292816979"
"Argyle Cafe", "Not Found", "Not Found", "tel:0292474307"
"Courtney Ho", "Not Found", "Not Found", "tel:0292120308"
"Manna Healthy Way", "Not Found", "Not Found", "tel:0292680900"
"Fire Station Cafe", "Not Found", "Not Found", "tel:0292112348"
"Salve Espresso", "Not Found", "Not Found", "tel:0292411552"
"Felix Cafe &amp; Bar", "Not Found", "Not Found", "tel:0292176705"
"Cappuccino &amp; Juice Bar", "Not Found", "Not Found", "tel:0292816722"
"TAI HE TANG INTERNATIONAL TRADING DEVELOPMENT PTY. LTD.", "Not Found", "Not Found", "tel:0292117828"
"Sydney Dance Cafe", "Not Found", "Not Found", "tel:0292415021"
"Senso Expresso Bar", "Not Found", "Not Found", "tel:0292411248"
"Sucre Creme", "Not Found", "Not Found", "tel:0292471600"
"Central Gourmet Cafe", "Not Found", "Not Found", "tel:0292119677"
"Central Stop", "Not Found", "Not Found", "tel:0292113040"
"Caffe Stretto", "Not Found", "Not Found", "tel:0292380303"
"Il Gianfornaio", "Not Found", "Not Found", "tel:0292316976"
"Hungry Hunter Sandwiches", "Not Found", "Not Found", "tel:0292211773"
"Bluestone Cafe", "Not Found", "Not Found", "tel:0292211841"
"Panzerotti Cafe", "Not Found", "Not Found", "tel:0292901119"
"Espresso @ Westpac", "Not Found", "Not Found", "tel:0292997797"
"Epi D'Ors", "Not Found", "Not Found", "tel:0295501078"
"Bean Scene Sydney Pty Ltd", "Not Found", "Not Found", "tel:0292814776"
"Fort Denison Cafe", "Not Found", "Not Found", "tel:0293581999"
"Kathaytex Australia Pty Ltd", "Not Found", "Not Found", "tel:0292516622"
"Uliveto Cafe", "http://www.ulivetocafe.com.au/", "Send Email info@uliveto.com.au", "tel:0293577331"
"Lumiere", "http://www.lumierecafe.com.au/", "Send Email info@lumierecafe.com.au", "tel:0293316184"
"Third Village", "http://www.thirdvillage.com.au/", "Send Email orders@thirdvillage.com.au", "tel:0293615826"
"iL Espresso", "http://www.ilespresso.com.au/", "Send Email info@ilespresso.com.au", "tel:0287229900"
"One Five Two", "https://www.facebook.com/onefivetw2", "Send Email andrew@pactfoods.com.au", "tel:0439390124"
"locanda olivetti", "http://www.locandaolivetti.com.au/", "Send Email ciao@locandaolivetti.com.au", "tel:0293572720"
"Two Good Eggs Cafe", "http://www.twogoodeggs.com.au/", "Send Email twogoodeggs@hotmail.com", "tel:0292839694"
"Mestizo Sydney", "http://www.mestizo.biz/", "Send Email info@mestizo.biz", "tel:0280846697"
"Chapter E Food and Juice Bar Takeaway and Eat In", "https://www.facebook.com/chapteredarlinghurst", "Send Email chapterepty@gmail.com", "tel:0279009972"
"Cafe XXII", "http://www.cafexxii.com.au/", "Send Email info@cafexxii.com.au", "tel:0295523093"
"The Rusty Rabbit", "http://www.therustyrabbit.com.au/", "Send Email info@therustyrabbit.com.au", "tel:0280659664"
"Dragon Well Chinese Teahouse", "http://www.onlinetea.co/", "Send Email srujiao@gmail.com", "tel:0416885792"
"A Brewer's Tale", "http://www.abrewerstale.com.au/", "Send Email logan@abrewerstale.com.au", "tel:0433483736"
"The Silly Tart Kitchen", "http://www.thesillytartkitchen.com/", "Send Email tart@sillytartkitchen.com", "tel:0293311048"
"The Q on Harris", "https://www.theqonharris.com/", "Send Email benji.salim@theqcoffee.com", "tel:0289573527"
"The Hungry Mind", "http://www.hungrymind.com.au/", "Send Email order@hungrymind.com.au", "tel:0285937919"
"Catmosphere Cat Cafe", "https://www.catmospherecafe.com.au/", "Send Email hello@catmospherecafe.com.au", "tel:0280980741"
"Cooperage Espresso Bar", "http://www.cooperageespresso.com/", "Send Email info@cooperageespresso.com", "tel:0296607613"
"Cafe Bones", "http://cafebones.com.au/", "Send Email info@cafebones.com.au", "tel:0280862433"
"Mad Spuds Cafe", "http://www.madspuds.com.au/", "Send Email info@madspuds.com.au", "tel:0296988108"
"O Organic Produce", "http://www.organicproduce.com.au/", "Send Email sales@organicproduce.com.au", "tel:0293194009"
"Bourke Street Bakery", "http://www.bourkestreetbakery.com.au/", "Send Email info@bourkestreetbakery.com.au", "tel:0293809700"
"Beach Burrito Company", "http://www.beachburritocompany.com/", "Send Email info@beachburritocompany.com", "tel:0293575275"
"Cook &amp; Archie's", "Not Found", "Send Email cookandarchies@bigpond.com", "tel:0293103933"
"RoHoToMs Cafe Restaurant", "http://www.facebook.com/rohotomscaferestaurant/timeline?ref=page_internal", "Not Found", "tel:0290902169"
"Paramount Coffee Projects", "http://www.facebook.com/theparamountcoffeeproject", "Not Found", "tel:0292111129"
"Pen Cafe &amp; Catering", "http://www.pencatering.com.au/", "Not Found", "tel:0295717288"
"Mr Mo", "http://www.mrmo.com.au/", "Not Found", "tel:0292122258"
"Tigerbakers Cafe", "http://www.tigerbakers.com/", "Not Found", "tel:0293316991"
"Wilbur's Place", "http://www.wilbursplace.com/", "Not Found", "tel:0293322999"
"Crewz Cafe", "Not Found", "Send Email crewzcafe@hotmail.com", "tel:0429224165"
"Big Mouth Cafe", "Not Found", "Send Email info@bigmouthcafe.com.au", "tel:0280846888"
"Una's Coffee Lounge", "http://www.unas.com.au/", "Not Found", "tel:0293606885"
"Chez Dee", "http://www.chezdee.com.au/", "Not Found", "tel:0283541544"
"Coco Cubano", "http://www.cococubano.com/", "Not Found", "tel:0291268263"
"The Piccolo Bar", "http://www.piccolobar.com.au/", "Not Found", "tel:0293681356"
"Bar Zini", "http://www.barzini.com.au/", "Not Found", "tel:0296605718"
"SHUK Elizabeth Bay", "https://www.shuk.com.au/locations", "Not Found", "tel:0413236712"
"Cafe@Flinders", "http://www.wix.com/geoffzxz/cafeatflinders", "Not Found", "tel:0430705785"
"Cherubini Espresso Bar", "http://www.cherubini.com.au/", "Not Found", "tel:0293269388"
"Fork And Grind", "Not Found", "Send Email forkandgrind@gmail.com", "tel:0292817278"
"The Lookout Cafe", "https://www.facebook.com/The-Lookout-2060700317547293", "Not Found", "tel:0415945651"
"cafe adda", "Not Found", "Send Email cafeaddasydney@gmail.com", "tel:0401683031"
"Sample Coffee", "http://samplecoffee.com.au/", "Not Found", "tel:0414703005"
"Koko Espresso Bar", "http://www.facebook.com/kokoespressosydney?sk=info", "Not Found", "tel:0283990100"
"White Rabbit Teahouse", "http://www.whiterabbitcollection.org/teahouse", "Not Found", "tel:0283992867"
"Latteria", "Not Found", "Not Found", "tel:0293312914"
"Harry's Coffee &amp; Gelato", "Not Found", "Not Found", "tel:0293614650"
"Charlies Cafe", "Not Found", "Not Found", "tel:0293584443"
"Arch Cafe The", "Not Found", "Not Found", "tel:0293615598"
"Ten Buck Alley Cafe", "Not Found", "Not Found", "tel:0293563000"
"Third Village William Street Pty Ltd", "Not Found", "Not Found", "tel:0293311915"
"Happyheart Group Pty Ltd", "Not Found", "Not Found", "tel:0280659459"
"Perry Madison Cafes", "Not Found", "Not Found", "tel:0293324366"
"Gloria Jean's Coffees", "Not Found", "Not Found", "tel:0425337477"
"Lemongrass Takrai", "Not Found", "Not Found", "tel:0295522558"
"Cafe Sqizito", "Not Found", "Not Found", "tel:0292836234"
"Edition Coffee Roasters", "Not Found", "Not Found", "tel:0293562480"
"Artisan Focacceria", "Not Found", "Not Found", "tel:0293269227"
"Darlinghurst Espresso Bar &amp; Chocolates", "Not Found", "Not Found", "tel:0292673817"
"Union Cafe Pyrmont", "Not Found", "Not Found", "tel:0295664440"
"Cafe Zizz", "Not Found", "Not Found", "tel:0296605242"
"Klink Handmade Espresso", "Not Found", "Not Found", "tel:0415118505"
"Wa Sushi Cafe", "Not Found", "Not Found", "tel:0293572240"
"Matchbox Cafe", "Not Found", "Not Found", "tel:0293269860"
"Cafe Ish", "Not Found", "Not Found", "tel:0292811688"
"Terakaza Cafe", "Not Found", "Not Found", "tel:0295185628"
"Biaggio", "Not Found", "Not Found", "tel:0285710606"
"Canvas Cafe", "Not Found", "Not Found", "tel:0296608584"
"LOTL Espresso Bar", "Not Found", "Not Found", "tel:0280941058"
"3 Group Espresso", "Not Found", "Not Found", "tel:0293577797"
"Sydney Art Gallery Cafe", "Not Found", "Not Found", "tel:0296600939"
"Central Internet Cafe", "Not Found", "Not Found", "tel:0292819988"
"Bella Vita", "Not Found", "Not Found", "tel:0293581215"
